name,response,confidence_no_fp,exp_url,source,scope,expected_countries,notes
dns_br_1234,1.2.3.4,10,https://explorer.ooni.org/measurement/20190612T013439Z_AS17974_XnyS9G0FWELa7uamYqu2zGxaYOQVrFFvlb9KmzbXlChVfY76uV?input=https://www.scruff.com/,[],br,[],"An A record with a 1.2.3.4 reply, this is a common false response to restrict access."
dns_br_allzero,0.0.0.0,10,https://explorer.ooni.org/measurement/20170214T000041Z_AS5769_GwfnRAZ0NLH0wT56sefg2xc2iB07m354tQ0dA6IIL8mRz1CTXZ?input=http://www.lesbian.org,[],br,[],"A 0.0.0.0 reply, by convention this is a standard way to block access to content with DNS servers"
dns_br_localhost,127.0.0.1,10,https://explorer.ooni.org/measurement/20160809T002715Z_AS4818_iyzGIP1lTXMuul1n2gqn5KveO8IEHWBprt04tul57KJS7mFutA?input=http://www.mygoodasyou.com,[],br,[],"A localhost reply, by convention this is a standard way to block access to content with DNS servers"
dns_inst_id_sehat_telkomuniversity,dnssehat.telkomuniversity.ac.id,10,https://explorer.ooni.org/measurement/20180315T084438Z_AS133357_LeDGv9wMP20hFNfN2nqsvJxL1vUKOFZ0grMlnMJXACYHkmPLNB?input=http://transsexual.org,['https://telkomuniversity.ac.id/'],isp,['ID'],"Indonesian University, owned by PT Telekom, but has a seperate filtering system"
dns_isp_id_comnets,220.247.168.195,10,https://explorer.ooni.org/measurement/20200213T075343Z_AS131111_n3Zv50ZiRaGIm7uCn3IwOIN879EzYbr3OV08aHpZdOIzsk83iT?input=https://www.ilga-europe.org/,['http://www.iconpln.co.id/'],isp,['ID'],Indonesian ISP Icon Comnets+ blockpage.
dns_isp_id_sehat_argon,103.195.19.54,10,https://explorer.ooni.org/measurement/20170501T123218Z_AS17974_TQovh9GvtBR3FlRa5IfIH19tSRfiGUgUzEnGoh5sgdLI1m0OgY?input=http://www.ifge.org,['http://www.argon.id/'],isp,['ID'],Indonesian ISP Argon (Datacentre) blockpage
dns_isp_id_sehat_bitsnet,103.19.56.2,10,,['https://bits.net.id/'],isp,['ID'],Indonesian ISP Bitsnet blockpage
dns_isp_id_sehat_biznet,202.169.44.80,10,https://explorer.ooni.org/measurement/20171105T072208Z_AS17451_7r3LG7AAcL538QaLjG44o23fmyWhbFiEOWEnbZfDhu1Lfpg6jF?input=http://www.grindr.com/,['https://www.biznetnetworks.com/'],isp,['ID'],Indonesian ISP Biznet blockpage
dns_isp_id_sehat_bolt_block,202.62.29.1,10,https://explorer.ooni.org/measurement/20170213T013637Z_AS4832_Y8ct5af944VzPhrMoeoll3Ap7MtHL97R2JBO0lEHto45vPYwFQ?input=http://www.gayscape.com,['https://www.bolt.id/'],isp,['ID'],Indonesian ISP Bolt
dns_isp_id_sehat_cbn_block,internetsehataman.cbn.net.id,10,https://explorer.ooni.org/measurement/20190420T092536Z_AS135478_mLOlXUu4n0QwTV10X6nqZYFwh9aQga4i4fPo9fMomwk2IMV6Le?input=http://transsexual.org/,['https://cbn.id/'],isp,['ID'],Indonesian ISP CBN
dns_isp_id_sehat_circleone,202.165.36.253,10,,['http://www.circleone.net.id/about/'],isp,['ID'],Indonesian ISP Circle One blockpage
dns_isp_id_sehat_citra,202.65.113.54,10,https://explorer.ooni.org/measurement/20170920T165858Z_AS17974_3WOOOvd6aU5LlWGoP1mVIXMiXBDXaJpAwfkjP4IYR52V0nXvDF?input=http://www.advocate.com,['https://citrahost.com//'],isp,['ID'],Indonesian ISP Citra blockpage
dns_isp_id_sehat_crypto_negatif,202.52.141.98,10,,['http://crypto.net.id/'],isp,['ID'],Indonesian ISP Crypto DNS filtering (Negatif Konten)
dns_isp_id_sehat_fibernet,27.123.220.197,10,,['http://fiber.net.id/'],isp,['ID'],Indonesian ISP Fibernet blockpage
